Released	Program Name	Program Revision	Approximate Date	Predecessor Name	Predecessor Revision	Known PCRs/PCNs/Software Anomaly Reports Incorporated Relative to Predecessor	References	Notes
	LUMINARY	194	1970-12-28	LUMINARY	193	PCR-347, PCR-324, PCR-1044, PCR-334 rev 1	LUMINARY Memo #189	
	LUMINARY	195	1970-12-29	LUMINARY	194	PCR-317.2, PCR-334 rev 1, PCR-347	LUMINARY Memo #190	
	LUMINARY	196	1971-01-05	LUMINARY	195	PCR-1127, PCR-1107, PCR-1109, PCR-1110, PCR-1122, PCR-1059, L-1D-10, PCR-348, PCR-1121, PCR-319, L-33, L-41, L-43, L-45, PCR-1044, TBD (1), PCR-1091, PCR-336, PCR-1124, PCR-317.2	LUMINARY Memo #192	
	LUMINARY	197	1971-01-08	LUMINARY	196	PCR-348, PCR-1127	LUMINARY Memo #193	
	LUMINARY	198	1971-01-08	LUMINARY	197	PCR-334 rev 1	LUMINARY Memo #193	
	LUMINARY	199	1971-01-08	LUMINARY	198	PCR-1122, PCN-1095, L-1D-07	LUMINARY Memo #193	
	LUMINARY	200	1971-01-11	LUMINARY	199	L-1D-17, L-1D-18, PCR-324, PCR-1044, L-46, L-1D-12	LUMINARY Memo #195	
	LUMINARY	201	1971-01-13	LUMINARY	200	PCR-1111, PCR-1134, L-47, L-1D-16, PCR-1044, PCR-334 rev 1	LUMINARY Memo #196	
	LUMINARY	202	1971-01-13	LUMINARY	201	TBD (1)	LUMINARY Memo #196	
	LUMINARY	203	1971-01-15	LUMINARY	202	PCR-1129, PCR-324, PCR-348, PCR-1117.2	LUMINARY Memo #197	
	LUMINARY	204	1971-02-16	LUMINARY	203	PCR-348, PCR-324, PCR-1127, PCR-1091, PCR-1122, PCR-1044, PCR-1134	LUMINARY Memo #202	
	LUMINARY	205	1971-02-24	LUMINARY	204	PCN-1133, L-1D-20, L-1D-19	LUMINARY Memo #204	
	LUMINARY	206-209	1971-02-26	LUMINARY	205	PCR-324, PCR-333, PCR-336 rev 1, PCR-1044, PCN-1059, PCR-1121, PCN-1141, L-1D-12, L-1D-21, L-1D-23, L-1D-25	LUMINARY Memo #205	
R	LUMINARY	210	1971-03-22	LUMINARY	209	TBD	No information available	LUMINARY 210 was the Lunar Module AGC software flown on Apollo 15, Apollo 16, and Apollo 17.
								
	ZERLINA	1	1970-03-20	LUMINARY	145	TBD	No information available	ZERLINA was a branch of Lunar Module AGC software used for developing engineering concepts such as the Variable Guidance Period.
	ZERLINA	2-30	1970-05-15	ZERLINA	1	TBD	No information available	
	ZERLINA	31	1970-07-17	ZERLINA	30	PCR-1024, PCR-1058, TBD	LUMINARY Memo #161	
	ZERLINA	32-49	1970-08-15	ZERLINA	31	TBD	No information available	
	ZERLINA	50	1970-09-16	ZERLINA	49	TBD	LUMINARY Memo #171	
	ZERLINA	51-55	1970-10-01	ZERLINA	50	TBD	No information available	
	ZERLINA	56	1970-10-22	ZERLINA	55	TBD	LUMINARY Memo #177	
								
								
	COLOSSUS	0	1967-06-01	SUNDISK	74	TBD	No information available	Early AGC programs had names that were typically related to the sun, and usually had the word "sun" explicitly in the name, as in SUNSPOT, SUNDIAL, SUNDISK, SUNDANCE, SUNBURST.  One wonders why name them after the sun rather than the moon?  NASA had a different concern, which was that nobody could remember which of these programs went in the CM and which in the LM.  So NASA requested that the CM program's name begin with "C" (as in COLOSSUS) and the LM program's name begin with "L" (as in LUMINARY).  After a few years, though, MIT/IL apparently forgot the rule and named the final CM program ARTEMIS.
	COLOSSUS	1-19	1967-07-01	COLOSSUS	0	TBD	No information available	
	COLOSSUS	20-39	1967-08-01	COLOSSUS	19	TBD	No information available	
	COLOSSUS	40-59	1967-09-01	COLOSSUS	39	TBD	No information available	
	COLOSSUS	60-79	1967-10-01	COLOSSUS	59	TBD	No information available	
	COLOSSUS	80-99	1967-11-01	COLOSSUS	79	TBD	No information available	
	COLOSSUS	100-119	1967-12-01	COLOSSUS	99	TBD	No information available	
	COLOSSUS	120-135	1968-01-01	COLOSSUS	119	TBD	No information available	
	COLOSSUS	136-138	1968-01-08	COLOSSUS	135	TBD	Missing COLOSSUS Memo #14	
	COLOSSUS	139-141	1968-01-14	COLOSSUS	138	TBD	Missing COLOSSUS Memo #16	
	COLOSSUS	142-144	1968-01-22	COLOSSUS	141	TBD	Missing COLOSSUS Memo #19	
	COLOSSUS	145-148	1968-01-29	COLOSSUS	144	TBD	Missing COLOSSUS Memo #24	
	COLOSSUS	149-152	1968-02-06	COLOSSUS	148	TBD	Missing COLOSSUS Memo #25	
	COLOSSUS	153-157	1968-02-12	COLOSSUS	152	TBD	Missing COLOSSUS Memo #27	
	COLOSSUS	158-163	1968-02-19	COLOSSUS	157	TBD	Missing COLOSSUS Memo #32	
	COLOSSUS	164-168	1968-02-26	COLOSSUS	163	TBD	Missing COLOSSUS Memo #35	
	COLOSSUS	169-172	1968-03-04	COLOSSUS	168	TBD	Missing COLOSSUS Memo #37	
	COLOSSUS	173-177	1968-03-11	COLOSSUS	172	TBD	Missing COLOSSUS Memo #40	
	COLOSSUS	178-182	1968-03-18	COLOSSUS	177	TBD	Missing COLOSSUS Memo #43	
	COLOSSUS	183-185	1968-03-26	COLOSSUS	182	TBD	Missing COLOSSUS Memo #45	
	COLOSSUS	186-188	1968-04-03	COLOSSUS	185	TBD	Missing COLOSSUS Memo #49	
	COLOSSUS	189-191	1968-04-09	COLOSSUS	188	TBD	Missing COLOSSUS Memo #50	
	COLOSSUS	192-194	1968-04-17	COLOSSUS	191	TBD	Missing COLOSSUS Memo #51	
	COLOSSUS	195	1968-04-20	COLOSSUS	194	TBD	No information available	
	COLOSSUS	196	1968-04-23	COLOSSUS	195	TBD	Missing COLOSSUS Memo #53	
	COLOSSUS	197-200	1968-05-02	COLOSSUS	196	PCN-98, PCN-108, PCN-115, PCR-151, PCR-157, PCR-169, TBD (32)	COLOSSUS Memo #56	
	COLOSSUS	201-202	1968-05-06	COLOSSUS	200	PCN-34, PCN-100, TBD (22)	COLOSSUS Memo #57	
	COLOSSUS	203-205	1968-05-14	COLOSSUS	202	PCR-50, PCN-100, PCR-155, TBD (26)	COLOSSUS Memo #60	
	COLOSSUS	206-208	1968-05-22	COLOSSUS	205	PCN-155, TBD (44)	COLOSSUS Memo #61	
	COLOSSUS	209-210	1968-06-03	COLOSSUS	208	PCR-103.1, PCR-123, PCR-130, PCN-159, TBD (31)	COLOSSUS Memo #62	
	COLOSSUS	211-212	1968-06-06	COLOSSUS	210	TBD	Missing COLOSSUS Memo #63	
	COLOSSUS	213-214	1968-06-14	COLOSSUS	212	TBD (22)	COLOSSUS Memo #64	
